A,B,C,D
33.75,28.0,57.138888888888886,7.420454545454545
11.166666666666666,0.0,2.1,62.82828282828283
0.8888888888888888,39.6,4.0,122.82828282828282
24.833333333333332,72.19642857142857,0.0,4.3
5.416666666666667,107.41111111111111,1.0,28.09090909090909
34.75,145.46969696969697,6.0,19.52777777777778
0.7,205.46969696969697,6.0,11.88888888888889
25.166666666666668,265.469696969697,3.6666666666666665,0.0
0.4444444444444444,325.469696969697,0.0,31.227272727272727
1.5,385.469696969697,0.0,91.14393939393939
46.0,13.063636363636363,0.0,116.69090909090909
106.0,70.76666666666667,3.0,0.9107142857142857
163.63636363636363,130.76666666666665,0.0,28.93181818181818
10.0,190.76666666666665,0,88.93181818181819
62.91666666666667,222.13131313131314,3.0,15.054545454545455
122.91666666666666,20.89393939393939,0.0,17.375
0.5555555555555556,80.09848484848484,0.0,29.96212121212121
35.33333333333333,6.94949494949495,0,89.96212121212122
95.33333333333334,46.92727272727272,1.0,15.2
155.33333333333331,2.107142857142857,5.0,71.0
8.303030303030303,2.5,0.0,131.0
64.0,50.77777777777778,0.0,10.254545454545454
124.0,3.111111111111111,1.0,67.09848484848484
0.0,32.90909090909091,8.75,127.09848484848484
24.333333333333336,92.9090909090909,0.0,1.6071428571428572
13.4,150.9909090909091,13.0,7.9222222222222225
3.2,28.022727272727273,0,41.25454545454545
30.0,6.511111111111111,0,23.666666666666664
8.583333333333334,61.38333333333333,0,44.0
3.375,121.38333333333333,0,23.325757575757574
22.5,0.8928571428571428,0,83.0530303030303
13.777777777777779,43.63636363636364,0,7.5888888888888895
36.0,51.8,0,18.236363636363635
0.4444444444444444,32.138888888888886,0,72.75
3.6363636363636362,9.708333333333334,0,132.75
10.88888888888889,36.21212121212122,0,20.848484848484848
0.25,14.972222222222221,0,80.84848484848484
25.333333333333332,73.94444444444444,0,7.0
6.5,62.98571428571429,0,60.81818181818182
0.5555555555555556,34.464285714285715,0,120.81818181818181
32.93333333333333,94.46428571428572,0,4.75
